what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1418208366465
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1418208366480
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1418208366480
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1418208366480
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1418208366480
stopped,bundle,org.eclipse.jst.server.ui,1.1.0.v20090421,"org.eclipse.jst.server.ui",1418208366480
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1418208366480
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1418208366480
stopped,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1418208366480
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.ui",1418208366480
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1418208366480
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.3.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.jpt.ui",1418208366480
stopped,bundle,org.eclipse.jpt.ui,2.2.0.v200905310000,"org.eclipse.jpt.ui",1418208366480
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.jdt.apt.ui",1418208366480
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.jdt.ui",1418208366480
stopped,bundle,org.hibernate.eclipse.mapper,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.mapper",1418208366480
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.3.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.jpt.core",1418208366480
stopped,bundle,org.jboss.tools.hibernate.ui,3.3.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.ui",1418208366480
stopped,bundle,org.hibernate.eclipse.console,3.3.1.v201006011046R-H111-GA,"org.hibernate.eclipse.console",1418208366480
stopped,bundle,org.eclipse.jpt.core,2.2.0.v200906070220,"org.eclipse.jpt.core",1418208366496
stopped,bundle,org.eclipse.jpt.db,1.2.100.v200905310000,"org.eclipse.jpt.db",1418208366496
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200906020900,"org.eclipse.datatools.enablement.jdt.classpath",1418208366496
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1418208366496
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1418208366496
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.debugger.core.ui",1418208366496
